의료기관명,의료기관분류,세부진단,의료기관전화번호,연락처,위도,경도,진료과목내용명,운영시간,공휴일시간,의료기관주소,월요일진료시작시간,월요일진료종료시간,월요일휴게시작시간,월요일휴게종료시간,화요일진료시작시간,화요일진료종료시간,화요일휴게시작시간,화요일휴게종료시간,수요일진료시작시간,수요일진료종료시간,수요일휴게시작시간,수요일휴게종료시간,목요일진료시작시간,목요일진료종료시간,목요일휴게시작시간,목요일휴게종료시간,금요일진료시작시간,금요일진료종료시간,금요일휴게시작시간,금요일휴게종료시간,토요일진료시작시간,토요일진료종료시간,토요일휴게시작시간,토요일휴게종료시간,일요일진료시작시간,일요일진료종료시간,일요일휴게시작시간,일요일휴게종료시간
세종시청점오라클피부과의원,의원,성형외과,044-715-7716,044-715-7716 대표번호,36.4779787,127.2885798,"성형외과, 피부과",진료시간  화 ~ 목 10:00 ~ 19:00  월금 10:00 ~ 20:00  토 09:30 ~ 15:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 2143 금강시티타워 2층 204~206호 (우)30150,10:00,20:00,13:00,14:00,10:00,19:00,13:00,14:00,10:00,19:00,13:00,14:00,10:00,19:00,13:00,14:00,10:00,20:00,13:00,14:00,9:30,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종아이소아청소년과의원,의원,소아청소년과,044-864-0800,044-864-0800 대표번호,36.5042272,127.2497555,"내과, 소아청소년과, 안과, 이비인후과, 피부과",진료시간  월 ~ 금 08:30 ~ 21:00  주말 09:00 ~ 16:00  월 ~ 금 휴게시간 18:30 ~ 19:00  월 ~ 금 휴게시간 12:30 ~ 14:00  주말 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 달빛로 59 호만빌딩 3층 303304호 (우)30064,8:30,21:00,12:30,14:00,8:30,21:00,12:30,14:00,8:30,21:00,12:30,14:00,8:30,21:00,12:30,14:00,8:30,21:00,12:30,14:00,9:00,16:00,13:00,14:00,9:00,16:00,13:00,14:00
세종양지한의원,한의원,한의원,044-868-5003,044-868-5003 대표번호,36.4940293,127.2484494,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월수금 09:30 ~ 19:00  화목 09:30 ~ 20:30  토 09:30 ~ 14:00,휴무일 일요일,세종특별자치시 다정중앙로 39 다정센터프라자2 4층 401402호 (우)30124,9:30,19:00,정보 없음,정보 없음,9:30,20:30,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,20:30,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종어린이치과의원,치과의원,치과,044-865-7502,044-865-7502 대표번호,36.5113818,127.2495315,치과,진료시간  월수 ~ 금 09:30 ~ 19:00  화 09:30 ~ 20:30,공휴일 09:30 ~ 14:00,세종특별자치시 보듬3로 91 해피라움4 305호 (우)30100,9:30,19:00,정보 없음,정보 없음,9:30,20:30,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종연세소아청소년과의원,의원,소아청소년과,044-867-9393,044-867-9393 대표번호,36.4848805,127.2507958,"내과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 방사선종양학과, 가정의학과",진료시간  월 ~ 금 09:00 ~ 20:00  토 09:00 ~ 14:00  월 ~ 금 휴게시간 12:30 ~ 14:00,공휴일 09:00 ~ 13:00,세종특별자치시 새롬중앙로 47 세움빌딩 402403호 (우)30126,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,20:00,12:30,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종연합비뇨기과의원,의원,비뇨의학과,044-867-2800,044-867-2800 대표번호,36.4884829,127.2564969,"산부인과, 비뇨의학과",진료시간  월 ~ 금 09:30 ~ 19:00  토 09:30 ~ 16:00  월 ~ 토 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 273 새롬시티 403~404호407~408호 (우)30127,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,16:00,13:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음
세종영상의학과의원,의원,내과,044-866-0009,044-866-0009 대표번호,36.4688777,127.2812188,"내과, 마취통증의학과, 영상의학과, 가정의학과",진료시간  월 ~ 수금 09:00 ~ 18:00  목토 09:00 ~ 13:00  월 ~ 수금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 금남면 용포로 116 3층 (우)30083,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종온정성한의원,한의원,한의원,044-866-1207,병원 연락처 정보 없음,36.4909896,127.2576193,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 수금 10:00 ~ 20:30  주말 10:00 ~ 15:00  목 14:30 ~ 20:30,공휴일 10:00 ~ 15:00,세종특별자치시 나성북1로 12 (우)30128,10:00,20:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,14:30,20:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,15:00,정보 없음,정보 없음,10:00,15:00,정보 없음,정보 없음
세종우리성모안과의원,의원,안과,044-864-3370,044-864-3370 대표번호,36.4884829,127.2564969,안과,진료시간  월 ~ 금 09:00 ~ 18:30  토 09:00 ~ 15:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 273 6층 (우)30127,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종우리의원,의원,내과,044-867-1170,044-867-1170 대표번호,36.4951143,127.2492738,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과",진료시간  월 ~ 금 09:00 ~ 21:00  주말 09:00 ~ 17:00  월 ~ 금 휴게시간 18:00 ~ 18:30  월 ~ 금 휴게시간 13:00 ~ 14:00  주말 휴게시간 12:30 ~ 13:00,공휴일 기타 (공휴일도 진료합니다.),세종특별자치시 다정중앙로 52 페스티발2 510~513호 (우)30123,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,17:00,12:30,13:00,9:00,17:00,12:30,13:00
세종위드정형외과의원,의원,정형외과,044-715-7574,044-715-7574 대표번호,36.487784,127.2566555,"신경과, 외과, 정형외과, 신경외과, 마취통증의학과, 재활의학과, 가정의학과",진료시간  월화목 09:00 ~ 18:30  수금 09:00 ~ 20:00  토 09:00 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 한누리대로 265 명동프라자 7층 701~703호 (우)30127,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,20:00,13:00,14:00,9:00,18:30,13:00,14:00,9:00,20:00,13:00,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종이안과의원,의원,안과,044-868-7228,044-868-7228 대표번호,36.4869109,127.2511677,안과,진료시간  월화목금 09:00 ~ 19:00  수토 09:00 ~ 13:00  월화목금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 새롬중앙로 62-15 해피라움W 4층 403404호 (우)30127,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종이지항외과의원,의원,외과,044-8636131,044-863-6131 대표번호,36.4938094,127.2558044,외과,진료시간  월금 09:00 ~ 18:00  화목 09:00 ~ 20:00  수토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 한누리대로 331 SR파크센텀 3층 320~323호 (우)30123,9:00,18:00,정보 없음,정보 없음,9:00,20:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,9:00,20:00,정보 없음,정보 없음,9:00,18:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종장사랑내과의원,의원,내과,044-715-7520,044-715-7520 대표번호,36.51231,127.2422535,"내과, 신경과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과",진료시간  월 ~ 금 08:30 ~ 18:30  토 08:30 ~ 13:00  월 ~ 금 휴게시간 12:30 ~ 13:30,휴무일 일요일 공휴일,세종특별자치시 보듬3로 158 아름메디컬센터 4층 401~405호 (우)30100,8:30,18:30,12:30,13:30,8:30,18:30,12:30,13:30,8:30,18:30,12:30,13:30,8:30,18:30,12:30,13:30,8:30,18:30,12:30,13:30,8:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종정형외과의원,의원,정형외과,044-867-2191,044-867-2191 대표번호,36.5153042,127.2584593,"내과, 정형외과, 산부인과, 소아청소년과, 피부과, 재활의학과, 가정의학과",진료시간  월화목금 09:00 ~ 18:00  수토 09:00 ~ 13:00  월화목금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 한누리대로 583 도담센트럴프라자 5층 501502506호 (우)30098,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종제이피부과의원,의원,피부과,044-865-1675,044-865-1675 대표번호,36.511737,127.2497282,"성형외과, 피부과",진료시간  월목 09:30 ~ 20:00  화금 09:30 ~ 19:00  토 09:30 ~ 14:00  월화목금 휴게시간 13:00 ~ 14:00,휴무일 수일요일 공휴일,세종특별자치시 보듬3로 92 해피라움 2동 404405호 (우)30100,9:30,20:00,13:00,14:00,9:30,19:00,13:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,9:30,20:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종제일산부인과의원,의원,산부인과,044-866-3582,044-866-3582 대표번호,36.4721655,127.277306,산부인과,진료시간  월 ~ 금 09:00 ~ 19:00  토 09:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 2265 세종메디컬센터 56층 (우)30153,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종조은내과의원,의원,내과,044-715-7570,044-715-7570 대표번호,36.4980135,127.3117466,"내과, 신경과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 진단검사의학과, 가정의학과",진료시간  월 ~ 금 08:30 ~ 20:00  토 08:30 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 한누리대로 1828 시드니블루 401 402호 (우)30146,8:30,20:00,13:00,14:00,8:30,20:00,13:00,14:00,8:30,20:00,13:00,14:00,8:30,20:00,13:00,14:00,8:30,20:00,13:00,14:00,8:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종충남대학교병원,종합병원,종합병원,1800-3114,1800-3114 대표번호,36.5195969,127.2581135,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과",진료시간  월 ~ 금 08:30 ~ 17:30,휴무일 토일요일 공휴일,세종특별자치시 보듬7로 20 (우)30099,8:30,17:30,정보 없음,정보 없음,8:30,17:30,정보 없음,정보 없음,8:30,17:30,정보 없음,정보 없음,8:30,17:30,정보 없음,정보 없음,8:30,17:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종코아이비인후과의원,의원,이비인후과,044-868-7585,044-868-7585 대표번호,36.519594,127.2353454,"내과, 소아청소년과, 이비인후과",진료시간  월 ~ 금 09:00 ~ 18:30  토 09:00 ~ 13:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 마음로 272-4 고운메디프라자 2층 201호 (우)30062,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종탑재활의학과의원,의원,정형외과,044-864-1620,044-864-1620 대표번호,36.4847449,127.2993181,"내과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 영상의학과, 재활의학과, 가정의학과",진료시간  월 ~ 수금 09:00 ~ 18:30  목 09:00 ~ 20:00  토 09:00 ~ 13:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 한누리대로 2018 사이언스타운 5층 506~508호 (우)30151,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,20:00,13:00,14:00,9:00,18:30,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종탑치과의원,치과의원,치과,044-715-7528,044-715-7528 대표번호,36.4860757,127.2503182,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  월 ~ 수금 09:30 ~ 18:30  목 09:30 ~ 20:30  토 09:30 ~ 13:00  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 새롬중앙로 59 새롬빌딩 3층 303호 (우)30126,9:30,18:30,12:30,14:00,9:30,18:30,12:30,14:00,9:30,18:30,12:30,14:00,9:30,20:30,12:30,14:00,9:30,18:30,12:30,14:00,9:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종톡스앤필의원,의원,성형외과,044-414-9200,044-414-9200 대표번호,36.4866841,127.2570939,"성형외과, 피부과",진료시간  월 ~ 금 10:00 ~ 20:30  토 10:00 ~ 16:30  일 10:30 ~ 16:00,공휴일 10:00 ~ 20:30,세종특별자치시 한누리대로 253 에스빌딩 5층 501호 (우)30127,10:00,20:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,20:30,정보 없음,정보 없음,10:00,16:30,정보 없음,정보 없음,10:30,16:00,정보 없음,정보 없음
세종튼튼치과의원,치과의원,치과,044-866-2007,044-866-2007 대표번호,36.4980006,127.3119897,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  월 ~ 수금 09:30 ~ 18:00  토 09:30 ~ 13:00,휴무일 목일요일 공휴일,세종특별자치시 한누리대로 1824 조이프라자 4층 401402호 (우)30146,9:30,18:00,정보 없음,정보 없음,9:30,18:00,정보 없음,정보 없음,9:30,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:00,정보 없음,정보 없음,9:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종튼튼한의원,한의원,한의원,044-868-0020,044-868-0020 대표번호,36.4710582,127.2802879,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 10:00 ~ 20:00  토 09:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 2257 (우)30153,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종퍼스트피부과의원,의원,피부과,044-864-9969,044-864-9969 대표번호,36.5042272,127.2497555,피부과,진료시간  화 ~ 목 09:30 ~ 19:00  월금 09:30 ~ 20:00  토 09:00 ~ 14:00  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 달빛로 59 호만빌딩 601~603호 (우)30064,9:30,20:00,12:30,14:00,9:30,19:00,12:30,14:00,9:30,19:00,12:30,14:00,9:30,19:00,12:30,14:00,9:30,20:00,12:30,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종프라우메디산부인과의원,의원,산부인과,044-716-1000,044-716-1000 대표번호,36.4798954,127.2619433,"내과, 외과, 산부인과, 소아청소년과, 비뇨의학과",진료시간  월 ~ 금 09:00 ~ 18:00  토 09:00 ~ 13:00  일 09:30 ~ 13:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 165 세종메디피아 67층 (우)30130,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,9:30,13:00,정보 없음,정보 없음
세종프라임치과의원,치과의원,치과,044-868-3522,044-868-3522 대표번호,36.5082836,127.2612436,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  월수 ~ 금 09:30 ~ 18:30  화 09:30 ~ 20:30  토 09:30 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 499 세종포스트빌딩 4층 (우)30102,9:30,18:30,13:00,14:00,9:30,20:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종플란트치과의원,치과의원,치과,044-868-2875,044-868-2875 대표번호,36.4791529,127.2624012,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",진료시간  월수 ~ 금 09:30 ~ 18:30  화 14:00 ~ 20:30  토 09:30 ~ 13:30  월수 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 157 금강프라자 3층 (우)30130,9:30,18:30,13:00,14:00,14:00,20:30,정보 없음,정보 없음,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,13:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종하이치과의원,치과의원,치과,044-862-7700,044-862-7700 대표번호,36.4980135,127.3117466,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  월화금 09:00 ~ 18:00  수 09:00 ~ 20:00  토 09:00 ~ 13:30  월화금 휴게시간 13:00 ~ 14:00,휴무일 목일요일 공휴일,세종특별자치시 한누리대로 1828 시드니블루 403404호 (우)30146,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,9:00,18:00,13:00,14:00,9:00,13:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종하이한방병원,한방병원,가정의학과,044-999-1999,044-999-1999 대표번호,36.4710747,127.2752964,"가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 09:00 ~ 21:00  주말 09:00 ~ 16:00  매일 휴게시간 13:00 ~ 14:00,공휴일 09:00 ~ 16:00 휴게시간 12:30 ~ 13:00,세종특별자치시 갈매로 58 황산프라자 36층 301~311601~611호 (우)30153,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,21:00,13:00,14:00,9:00,16:00,13:00,14:00,9:00,16:00,13:00,14:00
세종한의원,한의원,한의원,044-866-2011,044-866-2011 대표번호,36.4642527,127.2811532,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월수금 08:30 ~ 18:30  화목 08:30 ~ 19:30  토 08:00 ~ 14:00  기타  (일요일(27일장날) 08:00~13:00),공휴일 08:30 ~ 17:00,세종특별자치시 금남면 용포로 64 12층 (우)30083,8:30,18:30,정보 없음,정보 없음,8:30,19:30,정보 없음,정보 없음,8:30,18:30,정보 없음,정보 없음,8:30,19:30,정보 없음,정보 없음,8:30,18:30,정보 없음,정보 없음,8:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종함소아한의원,한의원,한의원,044-868-8333,044-868-8333 대표번호,36.5115351,127.243696,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월목 10:00 ~ 19:00  화금 14:00 ~ 20:00  토 09:30 ~ 15:00,공휴일 09:30 ~ 15:00,세종특별자치시 보듬3로 143 대영프라자 4층 405406호 (우)30100,10:00,19:00,정보 없음,정보 없음,14:00,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,14:00,20:00,정보 없음,정보 없음,9:30,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
세종항도외과의원,의원,외과,044-867-4475,044-867-4475 대표번호,36.4866841,127.2570939,"내과, 외과, 정형외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과",진료시간  월화목 09:00 ~ 18:00  수토 09:00 ~ 13:00  금 09:00 ~ 20:00  월화목 휴게시간 12:30 ~ 14:00  금 휴게시간 12:30 ~ 14:30,휴무일 일요일 공휴일,세종특별자치시 한누리대로 253 에스빌딩 5층 503호 (우)30127,9:00,18:00,12:30,14:00,9:00,18:00,12:30,14:00,9:00,13:00,정보 없음,정보 없음,9:00,18:00,12:30,14:00,9:00,20:00,12:30,14:30,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
센텀비뇨기과의원,의원,비뇨의학과,044-867-6553,044-867-6553 대표번호,36.4776782,127.2878081,비뇨의학과,진료시간  월 ~ 금 09:30 ~ 19:00  토 09:30 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 2149 엔젤타워 4층 (우)30150,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,19:00,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
소담내과의원,의원,내과,044-863-4100,044-863-4100 대표번호,36.4850762,127.2996161,"내과, 소아청소년과, 이비인후과, 피부과, 영상의학과",진료시간  월 ~ 금 09:00 ~ 19:00  토 09:00 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,공휴일 09:00 ~ 14:00,세종특별자치시 한누리대로 2016 타임빌딩 302~309호 (우)30151,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
소담에스정형외과의원,의원,정형외과,044-867-8400,044-867-8400 대표번호,36.4844944,127.2991099,"외과, 정형외과, 신경외과, 마취통증의학과, 재활의학과",진료시간  화 ~ 금 09:00 ~ 19:00  월 09:00 ~ 20:00  토 09:00 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 2024년 9월 16일 ~ 2024년 9월 21일 휴무 공휴일,세종특별자치시 한누리대로 2022 아이콤스타타워 3층 301~303308호 (우)30151,9:00,20:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,19:00,13:00,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
소담튼튼소아청소년과의원,의원,소아청소년과,044-868-8276,044-868-8276 대표번호,36.4828951,127.2924467,"내과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과",진료시간  월 ~ 금 08:30 ~ 19:00  토 09:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 2016 (우)30151,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
소리숨이비인후과의원,의원,이비인후과,044-868-1177,044-868-1177 대표번호,36.4868639,127.2602904,"신경과, 정신건강의학과, 소아청소년과, 이비인후과",진료시간  월화목금 09:00 ~ 18:30  수토 09:00 ~ 13:00  월화목금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 나성로 96 더센트럴 421호 (우)30128,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,13:00,정보 없음,정보 없음,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
소망안과의원,의원,안과,044-868-8224,044-868-8224 대표번호,36.4847449,127.2993181,안과,진료시간  월 ~ 금 09:00 ~ 18:30  토 09:00 ~ 13:00  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 일요일,세종특별자치시 한누리대로 2018 사이언스타운 307308호 (우)30151,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
손근형소아청소년과의원,의원,소아청소년과,044-715-5975,044-715-5975 대표번호,36.4901712,127.2594252,소아청소년과,진료시간  월 ~ 금 08:30 ~ 18:00  토 08:30 ~ 13:00,휴무일 정보 없음,세종특별자치시 나성북로 30 퍼스트원 B동 6층 632~635호 (우)30128,8:30,18:00,정보 없음,정보 없음,8:30,18:00,정보 없음,정보 없음,8:30,18:00,정보 없음,정보 없음,8:30,18:00,정보 없음,정보 없음,8:30,18:00,정보 없음,정보 없음,8:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
