음식점명,운영시간,휴무일,주소,연락처,최종분류,분류,별점,리뷰수,시설,메뉴,월요일 영업 시작시간,월요일 영업 종료시간,월요일 라스트오더 시간,월요일 휴게 시작시간,월요일 휴게 종료시간,화요일 영업 시작시간,화요일 영업 종료시간,화요일 라스트오더 시간,화요일 휴게 시작시간,화요일 휴게 종료시간,수요일 영업 시작시간,수요일 영업 종료시간,수요일 라스트오더 시간,수요일 휴게 시작시간,수요일 휴게 종료시간,목요일 영업 시작시간,목요일 영업 종료시간,목요일 라스트오더 시간,목요일 휴게 시작시간,목요일 휴게 종료시간,금요일 영업 시작시간,금요일 영업 종료시간,금요일 라스트오더 시간,금요일 휴게 시작시간,금요일 휴게 종료시간,토요일 영업 시작시간,토요일 영업 종료시간,토요일 라스트오더 시간,토요일 휴게 시작시간,토요일 휴게 종료시간,일요일 영업 시작시간,일요일 영업 종료시간,일요일 라스트오더 시간,일요일 휴게 시작시간,일요일 휴게 종료시간,태그_예약_배달_포장,위도,경도,이미지파일명,상세페이지주소
텐퍼센트커피 세종어진점,영업시간 월~금 08:00 ~ 20:00 토 09:00 ~ 18:00,휴무일 일요일,세종특별자치시 다솜1로 21 (우)30115,044-868-1014 대표번호,카페,텐퍼센트커피,5,9,WIFI,"블랙자몽티: 3500
솔티드밀크카라멜(10oz/아이스): 3800
아메리카노(다크/미디엄): 2000
플랫화이트(10oz/아이스): 3000
바닐라빈라떼: 3800",8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,9:00,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,"#카카오페이
포장가능",36.5091801,127.2564732,288.텐퍼센트커피 세종어진점.png,https://place.map.kakao.com/858678374
오발탄 세종점,영업시간 월~토 11:30 ~ 22:00 월~금 휴게시간 14:00 ~ 17:00,휴무일 일요일 설당일 설다음날,세종특별자치시 도움1로 7 베스트웨스턴플러스호텔 2층 213-219호 (우)30116,044-555-3721 대표번호,한식,오발탄,4.4,42,주차,"특양구이: 45000
한우대창구이: 44000
양념갈비: 59000
한우채끝등심: 59000
한우육회: 42000",11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,"#점심식사 #점심특선 #회식장소 #제로페이
예약가능",36.5002545,127.2584363,289.오발탄 세종점.png,https://place.map.kakao.com/390399942
플러스드바이,영업시간 월~토 08:00 ~ 20:00,공휴일 08:00 ~ 21:00,세종특별자치시 가름로 232 세종비지니스센터 A동 1층 112호 (우)30121,0507-1356-0333 대표번호,카페,카페,5,1,시설 정보 없음,"오페라케이크: 6800
에끌레어: 5000
망고딸기무스케이크: 6800
코코아밤: 6000
바질토마토에이드: 5500",8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4956263,127.2649084,290.플러스드바이.png,https://place.map.kakao.com/1470425616
파치먼트,영업시간 월~금 08:00 ~ 22:00 주말 11:00 ~ 22:00,공휴일 11:00 ~ 22:00,세종특별자치시 가름로 232 세종비지니스센터 1층 110111호 (우)30121,044-417-6788 대표번호,카페,카페,3.8,2,WIFI 동물출입 주차 놀이방시설 없음,"아메리카노 (테이크아웃 To-go): 2000
카페라떼 (테이크아웃 To-go): 2500
대추차: 5000
청귤 에이드: 5500
자몽 에이드: 5500",8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,8:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,11:00,22:00,정보 없음,정보 없음,정보 없음,예약가능 배달불가 포장가능,36.4956263,127.2649084,291.파치먼트.png,https://place.map.kakao.com/488516375
세종도화,영업시간 월~금 10:00 ~ 17:00 토 10:00 ~ 15:00 월~금 라스트오더 ~ 16:30 토 라스트오더 ~ 14:30,휴무일 일요일,세종특별자치시 갈매로 351 (우)30121,044-866-1970 대표번호,카페,카페,5,22,시설 정보 없음,"아메리카노: 2500
카페라떼: 4000
바닐라라떼: 4500
아샷추: 4000
아이스티: 3000",10:00,17:00,16:30,정보 없음,정보 없음,10:00,17:00,16:30,정보 없음,정보 없음,10:00,17:00,16:30,정보 없음,정보 없음,10:00,17:00,16:30,정보 없음,정보 없음,10:00,17:00,16:30,정보 없음,정보 없음,10:00,15:00,14:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4957982,127.2609374,292.세종도화.png,https://place.map.kakao.com/864849297
포레스트라운지,영업시간 월~금 11:20 ~ 23:00 토 17:30 ~ 23:00,휴무일 일요일,세종특별자치시 한누리대로 411 KT&G세종타워A 3층 306-3호 (우)30116,044-960-5288 대표번호,양식,스테이크립,4.6,16,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"1+우대갈비 립스테이크: 75000
1++투플한우스테이크: 55000
더블등심스테이크: 26000
램 스테이크: 38000
오리엔탈 파스타: 15800",11:20,23:00,정보 없음,정보 없음,정보 없음,11:20,23:00,정보 없음,정보 없음,정보 없음,11:20,23:00,정보 없음,정보 없음,정보 없음,11:20,23:00,정보 없음,정보 없음,정보 없음,11:20,23:00,정보 없음,정보 없음,정보 없음,17:30,23:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,"#안심식당 #세종맛집 #세종샐러드 #세종스테이크 #세종와인 #세종폭립 #건강식 #지중해요리 #카카오페이 #제로페이
예약가능 배달가능 포장가능",36.50115,127.2588209,293.포레스트라운지.png,https://place.map.kakao.com/1931738920
체인스커피 세종정부청사점,영업시간 월~금 08:00 ~ 21:00 토 11:00 ~ 21:00 일 11:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 가름로 232 세종비즈니스센터 A117호 (우)30121,044-999-3748 대표번호,카페,커피전문점,2,21,시설 정보 없음,"에스프레소: 3000
몽고아메리카노: 3000
크라미 카푸치노: 3500
카페모카: 4000
코코넛라떼: 5200",8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,11:00,21:00,정보 없음,정보 없음,정보 없음,11:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4956693,127.2651533,294.체인스커피 세종정부청사점.png,https://place.map.kakao.com/1887585849
로프티커피,영업시간 월~금 08:00 ~ 20:00 토 10:00 ~ 18:00,휴무일 설전날 설당일 설다음날 추석전날 추석당일 추석다음날,세종특별자치시 어진동 608 세종일번가 A동 1층 111호,044-856-8777 대표번호,카페,커피전문점,5,3,시설 정보 없음,"아메리카노 hot/iced: 4500
카페라테 hot/ iced: 5500
카페모카 hot/ iced: 5500
바닐라라테 hot/iced: 5500
에스프레소도피오 hot only: 4500",8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.5046297,127.2705662,295.로프티커피.png,https://place.map.kakao.com/812107543
스무디킹 세종KT&G타워점,영업시간 월~금 09:00 ~ 20:30 주말 11:30 ~ 20:30,휴무일 정보 없음,세종특별자치시 한누리대로 411 KT&G타워 3층 (우)30116,044-960-5251 대표번호,카페,스무디킹,5,3,WIFI,"스트로베리 익스트림 S: 5500
레몬 트위스트 스트로베리 S: 5500
망고 페스티벌 S: 5500
하이프로틴 아몬드 바나나 S: 5500
슬림앤슬림 다크초코 S: 5500",9:00,20:30,정보 없음,정보 없음,정보 없음,9:00,20:30,정보 없음,정보 없음,정보 없음,9:00,20:30,정보 없음,정보 없음,정보 없음,9:00,20:30,정보 없음,정보 없음,정보 없음,9:00,20:30,정보 없음,정보 없음,정보 없음,11:30,20:30,정보 없음,정보 없음,정보 없음,11:30,20:30,정보 없음,정보 없음,정보 없음,예약가능 배달가능 포장가능,36.5011289,127.258862,299.스무디킹 세종KT&G타워점 (휴업중).png,https://place.map.kakao.com/1337185310
언니네밀박스,영업시간 월~금 10:00 ~ 18:00,휴무일 토일요일,세종특별자치시 도움8로 81 세종일번가 B동 202호 (우)30107,010-9894-0673 대표번호,간식,양식,3,4,시설 정보 없음,"언니네 시그니처 샐러드: 10000
리코타 치즈 샐러드: 10000
아메리카노: 3500
카페라떼: 4000",10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#안심식당 #제로페이,36.5046297,127.2705662,300.언니네밀박스.png,https://place.map.kakao.com/1318085483
마구로정,영업시간 월~토 17:00 ~ 23:30,휴무일 일요일,세종특별자치시 보듬3로 8-5 도담프라자 2층 201 202호 (우)30098,044-866-9488 대표번호,일식,참치회,2.8,203,주차,"참다랑어 머리 (1인): 변동가격 메로구이: 30000
참다랑어 대뱃살 (10PCS): 70000
모듬튀김: 30000
정스시: 30000
스페셜스시: 40000",17:00,23:30,정보 없음,정보 없음,정보 없음,17:00,23:30,정보 없음,정보 없음,정보 없음,17:00,23:30,정보 없음,정보 없음,정보 없음,17:00,23:30,정보 없음,정보 없음,정보 없음,17:00,23:30,정보 없음,정보 없음,정보 없음,17:00,23:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.5127458,127.2582558,301.마구로정.png,https://place.map.kakao.com/27316046
청년다방 세종종촌점,영업시간 매일 11:00 ~ 21:30 매일 라스트오더 ~ 21:00,휴무일 정보 없음,세종특별자치시 달빛로 43 108109호 (우)30064,044-862-2126 대표번호,분식,청년다방,4.4,55,시설 정보 없음,"불향차돌청년세트: 24500
통통순살치킨: 12500
통큰오짱청년세트: 24500
떡튀순청년세트: 24500
마라로제치킨세트: 30500",11:00,21:30,21:00,정보 없음,정보 없음,11:00,21:30,21:00,정보 없음,정보 없음,11:00,21:30,21:00,정보 없음,정보 없음,11:00,21:30,21:00,정보 없음,정보 없음,11:00,21:30,21:00,정보 없음,정보 없음,11:00,21:30,21:00,정보 없음,정보 없음,11:00,21:30,21:00,정보 없음,정보 없음,#가족모임,36.5027225,127.2500324,302.청년다방 세종종촌점.png,https://place.map.kakao.com/1495673158
대선칼국수,영업시간 월~토 11:30 ~ 21:30 월~토 휴게시간 14:30 ~ 17:00,휴무일 일요일,세종특별자치시 한누리대로 316 (우)30128,044-865-2010 대표번호,한식,국수,3.1,31,시설 정보 없음,"칼국수: 8000
비빔국수: 8500
냉비빔국수: 8500
두부두루치기 (소): 28000
오삼두루치기: 30000",11:30,21:30,정보 없음,14:30,17:00,11:30,21:30,정보 없음,14:30,17:00,11:30,21:30,정보 없음,14:30,17:00,11:30,21:30,정보 없음,14:30,17:00,11:30,21:30,정보 없음,14:30,17:00,11:30,21:30,정보 없음,14:30,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4884625,127.2614278,303.대선칼국수.png,https://place.map.kakao.com/814082526
이오김밥,영업시간 월~토 10:00 ~ 18:30 월~토 휴게시간 14:30 ~ 16:00,휴무일 일요일 설전날 설당일 설다음날 추석전날 추석당일 추석다음날 성탄절,세종특별자치시 한누리대로 311 모닝시티2 1층 116호 (우)30123,044-864-3505 대표번호,분식,분식,4.2,136,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"생연어김밥: 11000
마늘쫑김밥: 6000
구운채소김밥: 6500
참치마요김밥: 6500
이오김밥: 5000",10:00,18:30,정보 없음,14:30,16:00,10:00,18:30,정보 없음,14:30,16:00,10:00,18:30,정보 없음,14:30,16:00,10:00,18:30,정보 없음,14:30,16:00,10:00,18:30,정보 없음,14:30,16:00,10:00,18:30,정보 없음,14:30,16:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,"#제로페이
예약가능 배달가능 포장가능",36.492113,127.2557955,304.이오김밥.png,https://place.map.kakao.com/661749205
택이네조개전골 세종나성점,영업시간 매일 11:00 ~ 01:00,연중무휴,세종특별자치시 나성북1로 18 1층 (우)30128,044-868-8686 대표번호,한식,조개,3.1,124,WIFI 주차,"모듬칼국수: 12000
얼큰 모듬 칼국수: 12000
스페셜 전골: 79000
황제스페셜 전골: 119000
조개전골(2인): 49000",11:00,1:00,정보 없음,정보 없음,정보 없음,11:00,1:00,정보 없음,정보 없음,정보 없음,11:00,1:00,정보 없음,정보 없음,정보 없음,11:00,1:00,정보 없음,정보 없음,정보 없음,11:00,1:00,정보 없음,정보 없음,정보 없음,11:00,1:00,정보 없음,정보 없음,정보 없음,11:00,1:00,정보 없음,정보 없음,정보 없음,"#점심식사 #점심특선 #친목모임 #회식장소
예약가능 배달가능 포장가능",36.4910378,127.2581695,305.택이네조개전골 세종나성점.png,https://place.map.kakao.com/1522606796
신미정춘천닭갈비 2호점,영업시간 매일 11:00 ~ 24:00 매일 라스트오더 ~ 23:20,휴무일 정보 없음,세종특별자치시 한누리대로 292 (우)30128,044-866-8897 대표번호,한식,닭요리,3.5,51,시설 정보 없음,"춘천닭갈비(1인분): 14000
춘천치즈닭갈비(1인분): 16000
막국수: 7000
볶음밥: 3000
치즈볶음밥: 3500",11:00,0:00,23:20,정보 없음,정보 없음,11:00,0:00,23:20,정보 없음,정보 없음,11:00,0:00,23:20,정보 없음,정보 없음,11:00,0:00,23:20,정보 없음,정보 없음,11:00,0:00,23:20,정보 없음,정보 없음,11:00,0:00,23:20,정보 없음,정보 없음,11:00,0:00,23:20,정보 없음,정보 없음,정보 없음,36.4884625,127.2614278,306.신미정춘천닭갈비 2호점.png,https://place.map.kakao.com/743081031
샤브마니아 세종점,영업시간 매일 11:00 ~ 22:00 매일 라스트오더 ~ 20:30 월~금 휴게시간 16:00 ~ 17:00,휴무일 정보 없음,세종특별자치시 나성로 96 더센트럴 415호 (우)30128,044-865-7768 대표번호,한식,샤브마니아,4.2,42,주차,"스폐셜(해물+피쉬볼+한우샤브): 26000
소고기 점심특선: 12900
스폐셜(해물+피쉬볼+소고기샤브): 21000
소고기샤브: 15900
한우샤브: 20000",11:00,22:00,20:30,16:00,17:00,11:00,22:00,20:30,16:00,17:00,11:00,22:00,20:30,16:00,17:00,11:00,22:00,20:30,16:00,17:00,11:00,22:00,20:30,16:00,17:00,11:00,22:00,20:30,정보 없음,정보 없음,11:00,22:00,20:30,정보 없음,정보 없음,"#가족모임 #어린이놀이방 #점심특선 #친목모임 #제로페이
예약가능 배달가능 포장가능",36.4868639,127.2602904,307.샤브마니아 세종점.png,https://place.map.kakao.com/881514461
려원민물장어,영업시간 매일 11:30 ~ 22:30,공휴일 11:30 ~ 22:30,세종특별자치시 나성북로 15 MVG 1층 101~104호 (우)30128,044-868-0032 대표번호,한식,한식,1.3,36,WIFI 주차,"장어 두마리 한판: 69000
장어 한마리 반판: 35000
소고기 양념구이 800g: 69000
소고기 양념구이 400g: 35000
장어구이 정식: 23000",11:30,22:30,정보 없음,정보 없음,정보 없음,11:30,22:30,정보 없음,정보 없음,정보 없음,11:30,22:30,정보 없음,정보 없음,정보 없음,11:30,22:30,정보 없음,정보 없음,정보 없음,11:30,22:30,정보 없음,정보 없음,정보 없음,11:30,22:30,정보 없음,정보 없음,정보 없음,11:30,22:30,정보 없음,정보 없음,정보 없음,"#안심식당 #나성동장어 #세종시룸있는방 #세종시술집 #세종시장어 #세종장어 #점심특선 #회식장소
예약가능",36.4897308,127.2584009,308.려원민물장어.png,https://place.map.kakao.com/1669087121
플레져,영업시간 화~토 11:00 ~ 24:00 월일 11:00 ~ 23:00,휴무일 정보 없음,세종특별자치시 중앙공원서로 10 나릿재마을2단지상가 S4901호 (우)30128,044-272-9488 대표번호,카페,카페,0,523,WIFI 주차,"흑당 슈페너: 7800
홍차 슈퍼너: 7800
에스프레소: 5500
에스프레소 콘파냐: 6500
아메리카노: 6000",11:00,23:00,정보 없음,정보 없음,정보 없음,11:00,0:00,정보 없음,정보 없음,정보 없음,11:00,0:00,정보 없음,정보 없음,정보 없음,11:00,0:00,정보 없음,정보 없음,정보 없음,11:00,0:00,정보 없음,정보 없음,정보 없음,11:00,0:00,정보 없음,정보 없음,정보 없음,11:00,23:00,정보 없음,정보 없음,정보 없음,포장가능,36.4885146,127.2654064,309.플레져.png,https://place.map.kakao.com/336444243
대구반야월막창 세종나성점,영업시간 월~토 17:00 ~ 02:00,휴무일 일요일,세종특별자치시 나성로 125-4 1층 (우)30128,044-866-1592 대표번호,한식,곱창막창,5,29,주차,"생막창(1인)(3인이상): 8900
소막창(1인)(3인이상): 19000
생삼겹(1인)(3인이상): 8900
한돈돈두롤(1인)(3인이상): 8900
소갈비살(1인)(3인이상): 19000",17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,17:00,2:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4902421,127.2588579,310.대구반야월막창 세종나성점.png,https://place.map.kakao.com/745903858
카페세종리,영업시간 화~일 11:00 ~ 20:30,휴무일 월요일 (공휴일 시 정상영업 화요일 휴무),세종특별자치시 중앙공원로 60 (우)30106,연락처 정보 없음,카페,카페,4.9,38,시설 정보 없음,"아메리카노: 4000
카페라떼: 4500
세종라떼(Only ICE): 5700
수제 대추차(Only HOT): 7000
세종리쥬 15개: 5000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,20:30,정보 없음,정보 없음,정보 없음,11:00,20:30,정보 없음,정보 없음,정보 없음,11:00,20:30,정보 없음,정보 없음,정보 없음,11:00,20:30,정보 없음,정보 없음,정보 없음,11:00,20:30,정보 없음,정보 없음,정보 없음,11:00,20:30,정보 없음,정보 없음,정보 없음,정보 없음,36.4976852,127.2733177,311.카페세종리.png,https://place.map.kakao.com/396111446
금도새기,영업시간 매일 16:00 ~ 00:30 매일 라스트오더 ~ 23:30,연중무휴,세종특별자치시 한누리대로 292 행복의아침 1층 110~112호 (우)30128,연락처 정보 없음,한식,육류고기,3.2,118,주차,"교차숙성 흑돼지(150g): 11500
400숙성 금삼겹살(150g): 13000
400숙성 특상 목살(150g): 13000
400숙성 근고기(450g): 39000
720흑돼지 뼈등심(300g): 26000",16:00,0:30,23:30,정보 없음,정보 없음,16:00,0:30,23:30,정보 없음,정보 없음,16:00,0:30,23:30,정보 없음,정보 없음,16:00,0:30,23:30,정보 없음,정보 없음,16:00,0:30,23:30,정보 없음,정보 없음,16:00,0:30,23:30,정보 없음,정보 없음,16:00,0:30,23:30,정보 없음,정보 없음,정보 없음,36.4903219,127.2570124,312.금도새기.png,https://place.map.kakao.com/207396754
초원삼계탕,영업시간 매일 10:00 ~ 20:00,공휴일 10:00 ~ 20:30,세종특별자치시 나성로 38 B동 402403호 (우)30129,044-866-4041 대표번호,한식,삼계탕,4.7,14,주차,"전통삼계탕: 13000
얼큰삼계탕: 14000
들깨삼계탕: 15000
녹두삼계탕: 15000
한방삼계탕: 15000",10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4868639,127.2602904,313.초원삼계탕.jfif,https://place.map.kakao.com/1535684994
바바라코코 세종점,영업시간 매일 10:00 ~ 20:00,어울누리로 67 검색 후 GS25편의점 바로 옆 지하주차장 이용해주세요 (무료),세종특별자치시 어울누리로 67 나릿재마을 2단지 상가 1층 비155~B157호 (우)30128,044-863-7488 대표번호,카페,카페,4.5,887,WIFI 주차,"클래식에스프레소: 2900
모카에스프레소: 3600
소금크림에스프레소: 3900
데미타세 아포가토(초코): 5800
데미타세 아포가토(말차): 5800",10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,"#나성동카페 #세종디저트카페 #세종카페 #세종케이터링 #세종쿠키 #디저트카페 #로스팅전문 #무인카페 #핸드드립전문점
예약가능 포장가능",36.487298,127.2660758,314.바바라코코 세종점.jfif,https://place.map.kakao.com/342236151
초대창 세종나성점,영업시간 월~토 16:00 ~ 24:00 일 16:00 ~ 22:00,휴무일 정보 없음,세종특별자치시 나성북1로 12 메가타워2 2층 208호 (우)30128,044-903-0034 대표번호,한식,곱창막창,4.8,297,주차,"대창구이: 18000
막창구이: 20000
특양구이: 21000
갈비살구이 양념/소금: 18000
모둠구이A: 66000",16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,0:00,정보 없음,정보 없음,정보 없음,16:00,22:00,정보 없음,정보 없음,정보 없음,나성동 회식 만족도 최상위 매장식약처 인증 위생등급 매우우수 매장 닫기,36.4909896,127.2576193,315.초대창 세종나성점.jfif,https://place.map.kakao.com/318954995
박월순곱창 본점,영업시간 월~토 11:30 ~ 22:30 월~토 휴게시간 14:00 ~ 16:00,휴무일 일요일,세종특별자치시 한누리대로 284 마들렌 1층 111 112호 (우)30128,044-866-9792 대표번호,한식,곱창막창,2.7,26,시설 정보 없음,"한우곱창전골(중): 38000
한우곱창전골(대): 48000
모듬구이: 23000
한우: 23000
곱창: 25000",11:30,22:30,정보 없음,14:00,16:00,11:30,22:30,정보 없음,14:00,16:00,11:30,22:30,정보 없음,14:00,16:00,11:30,22:30,정보 없음,14:00,16:00,11:30,22:30,정보 없음,14:00,16:00,11:30,22:30,정보 없음,14:00,16:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4895605,127.2571772,316.박월순곱창 본점.jfif,https://place.map.kakao.com/1831961949
본죽&비빔밥cafe 세종나성점,영업시간 월~금일 09:00 ~ 21:00 월~금일 휴게시간 15:30 ~ 16:30,휴무일 토요일,세종특별자치시 한누리대로 284 마들렌 1층 106호 (우)30128,0507-1317-3679 대표번호,한식,본죽&비빔밥cafe,5,0,시설 정보 없음,"전복죽: 13000
쇠고기야채죽: 11500
삼계죽: 12000
참깨계란새우쮺(반반쮺): 12000
로제해물쮺(반반쮺): 13000",9:00,21:00,정보 없음,15:30,16:30,9:00,21:00,정보 없음,15:30,16:30,9:00,21:00,정보 없음,15:30,16:30,9:00,21:00,정보 없음,15:30,16:30,9:00,21:00,정보 없음,15:30,16:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,9:00,21:00,정보 없음,15:30,16:30,#죽전문점,36.4895605,127.2571772,317.본죽&비빔밥cafe 세종나성점.jfif,https://place.map.kakao.com/1856825916
화로양갈비 세종나성점,영업시간 월~금 16:30 ~ 23:00 주말 15:30 ~ 23:00,공휴일 16:30 ~ 23:00,세종특별자치시 나성북1로 18 제이빌딩 1층 102호 (우)30128,0507-1349-7896 대표번호,중식,갈비,5,54,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"양갈비: 16000
양등심: 15000
양제비추리: 15000
나비갈비: 15000
된장술밥: 5000",16:30,23:00,정보 없음,정보 없음,정보 없음,16:30,23:00,정보 없음,정보 없음,정보 없음,16:30,23:00,정보 없음,정보 없음,정보 없음,16:30,23:00,정보 없음,정보 없음,정보 없음,16:30,23:00,정보 없음,정보 없음,정보 없음,15:30,23:00,정보 없음,정보 없음,정보 없음,15:30,23:00,정보 없음,정보 없음,정보 없음,"#안심식당 #세종시회식 #세종양갈비 #세종양갈비맛집 #세종회식장소 #가족모임 #손님접대 #이동약자접근 #친목모임 #회식장소
예약가능 배달불가 포장불가",36.4908825,127.2582446,318.화로양갈비 세종나성점.jfif,https://place.map.kakao.com/2027874428
다이어메이커 세종점,영업시간 화~일 17:30 ~ 01:00,휴무일 월요일,세종특별자치시 나성북로 47 (우)30128,연락처 정보 없음,주점업,카페,3,44,시설 정보 없음,"레드락: 6000
블랙러시안: 9000
갓파더: 12000
제임슨하이볼: 9000
무알콜모히또: 10000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,17:30,1:00,정보 없음,정보 없음,정보 없음,17:30,1:00,정보 없음,정보 없음,정보 없음,17:30,1:00,정보 없음,정보 없음,정보 없음,17:30,1:00,정보 없음,정보 없음,정보 없음,17:30,1:00,정보 없음,정보 없음,정보 없음,17:30,1:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4909079,127.2611776,319.다이어메이커 세종점.jfif,https://place.map.kakao.com/2040801213
세종삼복낙지,영업시간 월~금 11:00 ~ 22:00 월~금 라스트오더 ~ 21:00 월~금 휴게시간 15:00 ~ 17:00,휴무일 토일요일,세종특별자치시 한누리대로 165 세종메디피아 102호 (우)30130,044-998-3355 대표번호,한식,해물생선,5,48,주차,"산낙지볶음: 16000
냉동낙지볶음: 12000
산낙지박속연포탕(중): 47000
산낙지전골(중): 47000
탕탕이(중): 25000",11:00,22:00,21:00,15:00,17:00,11:00,22:00,21:00,15:00,17:00,11:00,22:00,21:00,15:00,17:00,11:00,22:00,21:00,15:00,17:00,11:00,22:00,21:00,15:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#안심식당 #가족모임 #방문포장 #점심식사 #친목모임 #한옥스타일 #혼밥 #제로페이,36.4798954,127.2619433,320.세종삼복낙지.jfif,https://place.map.kakao.com/24353141
